nome_parlametria,uf,nome_original,partido,id_camara
CHRISTIANE DE SOUZA YARED,PR,CHRISTIANE DE SOUZA YARED,PL,178928
FELIPE CARRERAS,PE,FELIPE CARRERAS,PSB,72442
AFONSO HAMM,RS,AFONSO HAMM,PP,136811
GENINHO ZULIANI,SP,GENINHO ZULIANI,DEM,204527
GUTEMBERG REIS,RJ,GUTEMBERG REIS,MDB,204456
HÉLIO COSTA,SC,HÉLIO COSTA,REPUBLICANOS,204373
WLADIMIR GAROTINHO,RJ,WLADIMIR GAROTINHO,PSD,204463
BENES LEOCÁDIO,RN,BENES LEOCÁDIO,REPUBLICANOS,109429
SILAS CÂMARA,AM,SILAS CÂMARA,REPUBLICANOS,74356
ADOLFO VIANA,BA,ADOLFO VIANA,PSDB,204560
ORLANDO SILVA,SP,ORLANDO SILVA,PCdoB,178987
JOAQUIM PASSARINHO,PA,JOAQUIM PASSARINHO,PSD,178910
RUBENS OTONI,GO,RUBENS OTONI,PT,74371
LUCAS REDECKER,RS,LUCAS REDECKER,PSDB,204404
AIRTON FALEIRO,PA,AIRTON FALEIRO,PT,204495
ELIAS VAZ,GO,ELIAS VAZ,PSB,204389
FELÍCIO LATERÇA,RJ,FELÍCIO LATERÇA,PSL,204477
CHRISTINO AUREO,RJ,CHRISTINO AUREO,PP,204440
LAERCIO OLIVEIRA,SE,LAERCIO OLIVEIRA,PP,151208
CÁSSIO ANDRADE,PA,CÁSSIO ANDRADE,PSB,204499
DANIEL SILVEIRA,RJ,DANIEL SILVEIRA,PSL,204454
RODRIGO AGOSTINHO,SP,RODRIGO AGOSTINHO,PSB,204530
NILTO TATTO,SP,NILTO TATTO,PT,178986
HÉLIO LEITE,PA,HÉLIO LEITE,DEM,178909
JULIO CESAR RIBEIRO,DF,JULIO CESAR RIBEIRO,REPUBLICANOS,204372
RENILDO CALHEIROS,PE,RENILDO CALHEIROS,PCdoB,73801
DANRLEI DE DEUS HINTERHOLZ,RS,DANRLEI DE DEUS HINTERHOLZ,PSD,160552
LINCOLN PORTELA,MG,LINCOLN PORTELA,PL,74585
CÉLIO MOURA,TO,CÉLIO MOURA,PT,204370
MARX BELTRÃO,AL,MARX BELTRÃO,PSD,178843
GUIGA PEIXOTO,SP,GUIGA PEIXOTO,PSL,204513
RENATA ABREU,SP,RENATA ABREU,PODE,178989
MARCELO FREIXO,RJ,MARCELO FREIXO,PSB,76874
JOÃO CAMPOS,GO,JOÃO CAMPOS,REPUBLICANOS,74366
RODRIGO MAIA,RJ,RODRIGO MAIA,S.PART.,74693
VICENTINHO,SP,VICENTINHO,PT,74283
DANIEL ALMEIDA,BA,DANIEL ALMEIDA,PCdoB,74060
MÁRCIO JERRY,MA,MÁRCIO JERRY,PCdoB,81055
ALTINEU CÔRTES,RJ,ALTINEU CÔRTES,PL,178937
MAURÍCIO DZIEDRICKI,RS,MAURÍCIO DZIEDRICKI,PTB,75431
MARGARIDA SALOMÃO,MG,MARGARIDA SALOMÃO,PT,171619
JOÃO CARLOS BACELAR,BA,JOÃO CARLOS BACELAR,PR,74131
JOÃO CARLOS BACELAR,BA,JOÃO CARLOS BACELAR,PL,141458
CARLOS CHIODINI,SC,CARLOS CHIODINI,MDB,204361
GERVÁSIO MAIA,PB,GERVÁSIO MAIA,PSB,204394
MÁRCIO BIOLCHI,RS,MÁRCIO BIOLCHI,MDB,179001
SERGIO TOLEDO,AL,SERGIO TOLEDO,PL,204438
HIRAN GONÇALVES,RR,HIRAN GONÇALVES,PP,178959
LUIZÃO GOULART,PR,LUIZÃO GOULART,REPUBLICANOS,204418
FÁBIO MITIDIERI,SE,FÁBIO MITIDIERI,PSD,178969
DR. LUIZ OVANDO,MS,DR LUIZ OVANDO,PSL,204351
ALCEU MOREIRA,RS,ALCEU MOREIRA,MDB,160559
CÉLIO STUDART,CE,CÉLIO STUDART,PV,204488
CAPITÃO ALBERTO NETO,AM,CAPITÃO ALBERTO NETO,REPUBLICANOS,204572
